FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,IMDB,Fandango_Stars
Cinderella (2015),85,80,67,7.1,5
Do You Believe? (2015),18,84,22,5.4,5
Hot Tub Time Machine 2 (2015),14,28,29,5.1,3.5
The Water Diviner (2015),63,62,50,7.2,4.5
Irrational Man (2015),42,53,53,6.9,4
Shaun the Sheep Movie (2015),99,82,81,7.4,4.5
Black Sea (2015),82,60,62,6.4,4
Unbroken (2014),51,70,59,7.2,4.5
The Imitation Game (2014),90,92,73,8.1,5
Taken 3 (2015),9,46,26,6.1,4.5
Ted 2 (2015),46,58,48,6.6,4.5
Southpaw (2015),59,80,57,7.8,5
Night at the Museum: Secret of the Tomb (2014),50,58,47,6.3,4.5
Pixels (2015),17,54,27,5.6,4.5
"McFarland, USA (2015)",79,89,60,7.5,5
Insidious: Chapter 3 (2015),59,56,52,6.3,4.5
The Man From U.N.C.L.E. (2015),68,80,55,7.6,4.5
Run All Night (2015),60,59,59,6.6,4.5
Trainwreck (2015),85,74,75,6.7,4.5
Ex Machina (2015),92,86,78,7.7,4.5
The Boy Next Door (2015),10,35,30,4.6,4
Aloha (2015),19,31,40,5.5,3.5
The Loft (2015),11,40,24,6.3,4
5 Flights Up (2015),52,47,55,6.1,4
Welcome to Me (2015),71,47,67,5.9,4
Saint Laurent (2015),51,45,52,6.3,3.5
Maps to the Stars (2015),60,46,67,6.3,3.5
Kingsman: The Secret Service (2015),75,84,58,7.8,4.5
Tomorrowland (2015),50,53,60,6.6,4
The Divergent Series: Insurgent (2015),30,61,42,6.4,4.5
Annie (2014),27,61,33,5.2,4.5
Fantastic Four (2015),9,20,27,4,3
Terminator Genisys (2015),26,60,38,6.9,4.5
Pitch Perfect 2 (2015),67,68,63,6.7,4.5
Entourage (2015),32,68,38,7.1,4.5
The Age of Adaline (2015),54,68,51,7.3,4.5
